ts_ms,sensor_id,valor(s),estado
1969-12-31T19:01:49,HC-SR04,98.47,NORMAL
1969-12-31T19:01:50,HC-SR04,82.59,NORMAL
1969-12-31T19:01:51,HC-SR04,66.72,NORMAL
1969-12-31T19:01:52,HC-SR04,50.84,NORMAL
1969-12-31T19:01:53,HC-SR04,33.11,NORMAL
1969-12-31T19:01:54,HC-SR04,36.17,NORMAL
1969-12-31T19:01:55,HC-SR04,33.84,NORMAL
1969-12-31T19:01:56,HC-SR04,35.24,NORMAL
1969-12-31T19:01:57,HC-SR04,36.64,NORMAL
1969-12-31T19:01:58,HC-SR04,48.51,NORMAL
1969-12-31T19:01:59,HC-SR04,60.39,NORMAL
1969-12-31T19:02:00,HC-SR04,72.27,NORMAL
1969-12-31T19:02:01,HC-SR04,86.02,NORMAL
1969-12-31T19:02:02,HC-SR04,82.95,NORMAL
1969-12-31T19:02:03,HC-SR04,79.89,NORMAL
1969-12-31T19:02:04,HC-SR04,73.56,NORMAL
1969-12-31T19:02:05,HC-SR04,78.88,NORMAL
1969-12-31T19:02:06,HC-SR04,73.5,NORMAL
1969-12-31T19:02:07,HC-SR04,61.08,NORMAL
1969-12-31T19:02:08,HC-SR04,48.63,NORMAL
1969-12-31T19:02:09,HC-SR04,36.2,NORMAL
1969-12-31T19:02:10,HC-SR04,36.2,NORMAL
1969-12-31T19:02:11,HC-SR04,40.43,NORMAL
1969-12-31T19:02:12,HC-SR04,44.43,NORMAL
1969-12-31T19:02:13,HC-SR04,40.77,NORMAL
1969-12-31T19:02:14,HC-SR04,42.02,NORMAL
1969-12-31T19:02:15,HC-SR04,50.32,NORMAL
1969-12-31T19:02:16,HC-SR04,58.63,NORMAL
1969-12-31T19:02:17,HC-SR04,66.93,NORMAL
1969-12-31T19:02:18,HC-SR04,66.93,NORMAL
1969-12-31T19:02:19,HC-SR04,62.7,NORMAL
1969-12-31T19:02:20,HC-SR04,58.7,NORMAL
1969-12-31T19:02:21,HC-SR04,50.71,NORMAL
1969-12-31T19:02:22,HC-SR04,38.03,NORMAL
1969-12-31T19:02:23,HC-SR04,27.23,NORMAL
1969-12-31T19:02:24,HC-SR04,16.42,ALERT
1969-12-31T19:02:25,HC-SR04,5.61,ALERT
1969-12-31T19:02:26,HC-SR04,7.49,ALERT
1969-12-31T19:02:27,HC-SR04,9.36,ALERT
1969-12-31T19:02:28,HC-SR04,11.23,ALERT
1969-12-31T19:02:29,HC-SR04,13.1,ALERT
1969-12-31T19:02:30,HC-SR04,14.97,ALERT
